"Atomic Number","Nuclide","Half-life"
12,"Mg-27","9.462 m"
13,"Al-28","2.2414 m"
13,"Al-29","6.56 m"
15,"P-30","2.498 m"
16,"S-37","5.05 m"
16,"S-38","170.3 m"
17,"Cl-34m","32.00 m"
17,"Cl-40","1.35 m"
19,"K-38","7.638 m"
20,"Ca-49","8.718 m"
22,"Ti-51","5.76 m"
23,"V-53","1.81 m"
23,"V-52","3.743 m"
23,"V-50","1.5E+17 y"
24,"Cr-55","3.497 m"
24,"Cr-56","5.94 m"
25,"Mn-57","1.42333 m"
25,"Mn-58m","1.08666 m"
26,"Fe-53","8.51 m"
27,"Co-62","1.50 m"
29,"Cu-62","9.74 m"
29,"Cu-66","5.088 m"
33,"As-68","2.52666 m"
33,"As-79","9.01 m"
34,"Se-79m","3.92 m"
34,"Se-71","4.74 m"
34,"Se-72","8.40 d"
35,"Br-77m","4.28 m"
35,"Br-78","6.46 m"
35,"Br-82m","8.13 m"
35,"Br-84m","6.0 m"
37,"Rb-90m","4.3 m"
37,"Rb-88m","1.017 m"
37,"Rb-84m","20.28 m"
37,"Rb-90","2.63333 m"
37,"Rb-78","17.66 m"
37,"Rb-77","3.77 m"
37,"Rb-82","1.273 m"
39,"Y-83","7.08 m"
39,"Y-83m","2.85 m"
39,"Y-84m","40 m"
39,"Y-85","2.68 h"
39,"Y-85m","4.88 h"
39,"Y-87m","13.37 h"
40,"Zr-87","1.68 h"
40,"Zr-85","7.86 m"
40,"Zr-89m","4.18 m"
41,"Nb-94m","6.26 m"
41,"Nb-92m","10.15 d"
41,"Nb-92","3.47E+7 y"
41,"Nb-88m","7.8 m"
41,"Nb-91","8.8E+2 y"
41,"Nb-91m","60.86 d"
42,"Mo-91","15.49 m"
42,"Mo-102","J1.3 m"
44,"Ru-95","1.643 h"
45,"Rh-97","30.7 m"
45,"Rh-97m","46.2 m"
45,"Rh-98","8.7 m"
45,"Rh-100m","4.6 m"
46,"Pd-99","21.4 m"
46,"Pd-111","23.4 m"
46,"Pd-112","21.03 h"
46,"Pd-109m","4.69 m"
47,"Ag-101","11.1 m"
47,"Ag-105m","7.23 m"
47,"Ag-f08","2.37 m"
47,"Ag-111m","1.08 m"
47,"Ag-113","5.37 h"
47,"Ag-113m","1.145 m"
48,"Cd-113m","14.1 y"
48,"Tc-102m","4.35 m"
48,"Pd-98","17.7 m"
48,"Cd-118","50.3 m"
48,"Cd-111m","48.54 m"
48,"Cd-105","55.5 m"
49,"In-107","32.4 m"
49,"In-108m","39.6 m"
49,"In-108","58.0 m"
49,"In-119","2.4 m"
49,"in-109m","1.34 m"
49,"In-114","1.19833 m"
49,"in-112m","20.56 m"
49,"in-111m","7.7 m"
49,"tn-118m","4.364 m"
50,"Sn-109","18.0 m"
50,"Sn-113m","21.4 m"
50,"Sn-125m","9.52 m"
50,"Sn-108","10.30 m"
51,"Sb-114","3.49 m"
51,"Sb-118","3.6 m"
51,"Sb-122m","4.191 m"
51,"Sb-124m","1.55 m"
52,"Te-117","82 m"
52,"Te-119m","4.70 d"
52,"Ta-118","8.00 d"
52,"Te-119","18.03 h"
