HTO,12.3 a,1.0,6.4e-11,1.0,4.8e-11,3.1e-11,2.3e-11,1.8e-11,1.8e-11
OBT,12.3 a,1.0,1.2e-10,1.0,1.2e-10,7.3e-11,7.3e-11,4.2e-11,4.2e-11
Be-7,53.3 d,0.02,1.8e-10,0.005,1.3e-10,7.7e-11,5.3e-11,3.5e-11,2.8e-11
Be-10,1.60e6 a,0.02,1.4e-08,0.005,8e-09,4.1e-09,2.4e-–9,1.4e-09,1.1e-09
C-11,0.340 h,1.0,2.6e-10,1.0,1.5e-10,7.3e-11,4.3e–11,3e-11,2.4e-11
C-14,5.73e3 a,1.0,1.4e-09,1.0,1.6e-09,9.9e-10,8e-10,5.7e-10,5.8e-10
F-18,1.83 h,1.0,5.2e-10,1.0,3e-10,1.5e-10,9.1e-11,6.2e-11,4.9e-11
Na-22,2.60 a,1.0,2.1e-08,1.0,1.5e-08,8.4e-09,5.5e-09,3.7e-09,3.2e-09
Na-24,15.0 h,1.0,3.5e-09,1.0,2.3e-09,1.2e-09,7.7e-10,5.2e-10,4.3e-10
Mg-28,20.9 h,1.0,1.2e-08,0.5,1.4e-08,7.4e-09,4.5e-09,2.7e-09,2.2e-09
Al-26,716000 a,0.02,3.4e-08,0.01,2.1e-08,1.1e-08,7.1e-09,4.3e-09,3.5e-09
Si-31,2.62 h,0.02,1.9e-09,0.01,1e-09,5.1e-10,3e-10,1.8e-10,1.6e-10
Si-32,4.50e2 a,0.02,7.3e-09,0.01,4.1e-09,2e-09,1.2e-09,7e-10,5.6e-10
P-32,14.3 d,1.0,3.1e-08,0.8,1.9e-08,9.4e-09,5.3e-09,3.1e-09,2.4e-09
P-33,25.4 d,1.0,2.7e-09,0.8,1.8e-09,9.1e-10,5.3e-10,3.1e-10,2.4e-10
S-35,87.4 d,1.0,1.3e-09,1.0,8.7e-10,4.4e-10,2.7e-10,1.6e-10,1.3e-10
S-35_inorg,87.4 d,1.0,1.3e-09,1.0,8.7e-10,4.4e-10,2.7e-10,1.6e-10,1.3e-10
S-35_org,87.4 d,1.0,7.7e-09,1.0,5.4e-09,2.7e-09,1.6e-09,9.5e-10,7.7e-10
Cl-36,3.01e5 a,1.0,9.8e-09,1.0,6.3e-09,3.2e-09,1.9e-09,1.2e-09,9.3e-10
Cl-38,0.620 h,1.0,1.4e-09,1.0,7.7e-10,3.8e-10,2.2e-10,1.5e-10,1.2e-10
Cl-39,0.927 h,1.0,9.7e-10,1.0,5.5e-10,2.7e-10,1.6e-10,1.1e-10,8.5e-11
K-40,1.28e9 a,1.0,6.2e-08,1.0,4.2e-08,2.1e-08,1.3e-08,7.6e-09,6.2e-09
K-42,12.4 h,1.0,5.1e-09,1.0,3e-09,1.5e-09,8.6e-10,5.4e-10,4.3e-10
K-43,22.6 h,1.0,2.3e-09,1.0,1.4e-09,7.6e-10,4.7e-10,3e-10,2.5e-10
K-44,0.369 h,1.0,1e-09,1.0,5.5e-10,2.7e-10,1.6e-10,1.1e-10,8.4e-11
K-45,0.333 h,1.0,6.2e-10,1.0,3.5e-10,1.7e-10,9.9e-11,6.8e-11,5.4e-11
Ca-41,1.40e5 a,0.6,1.2e-09,0.3,5.2e-10,3.9e-10,4.8e-10,5e-10,1.9e-10
Ca-45,163 d,0.6,1.1e-08,0.3,4.9e-09,2.6e-09,1.8e-09,1.3e-09,7.1e-10
Ca-47,4.53 d,0.6,1.3e-08,0.3,9.3e-09,4.9e-09,3e-09,1.8e-09,1.6e-09
Sc-43,3.89 h,0.001,1.8e-09,0.0001,1.2e-09,6.1e-10,3.7e-10,2.3e-10,1.9e-10
