,Nuclide,half_life,Type,f_1_lt1y,dcf_3m,f1_egt1y,dcf_1y,dcf_5y,dcf_10y,dcf_15y,Adult
0,Mg-27,9.462 m,F,1,8.1E-11,0.5,4.7e-11,2.1e-11,1.4e-11,8.4e-12,7.2e-12
1,Mg-27,9.462 m,M,1,1.1E-10,0.5,6.4e-11,2.9e-11,1.9e-11,1.2e-11,1e-11
2,Al-28,2.2414 m,F,0.02,3.1E-11,0.01,1.9e-11,8.7e-12,5.6e-12,3.5e-12,3e-12
3,Al-28,2.2414 m,M,0.02,3.5E-11,0.01,2.1e-11,9.8e-12,6.3e-12,3.9e-12,3.4e-12
4,Al-29,6.56 m,F,0.02,7.2E-11,0.01,4.2e-11,1.9e-11,1.2e-11,7.6e-12,6.5e-12
5,Al-29,6.56 m,M,0.02,9.3E-11,0.01,5.4e-11,2.5e-11,1.6e-11,1e-11,8.6e-12
6,P-30,2.498 m,F,1,3.4E-11,0.8,2e-11,9e-12,5.9e-12,3.6e-12,3.2e-12
7,P-30,2.498 m,M,1,3.8E-11,0.8,2.3e-11,1e-11,6.7e-12,4.2e-12,3.7e-12
8,S-37_inorg,5.05m,F,1,6.1E-11,0.8,3.8e-11,1.8e-11,1.1e-11,7e-12,6e-12
9,S-37_inorg,5.05m,M,0.2,7.6E-11,0.1,4.7e-11,2.2e-11,1.4e-11,8.7e-12,7.4e-12
10,S-37_inorg,5.05m,S,0.02,7.7E-11,0.01,4.8e-11,2.2e-11,1.4e-11,8.9e-12,7.6e-12
11,S-38_inorg,170.3 m,F,1,1.3E-09,0.8,9.1e-10,4.4e-10,2.8e-10,1.7e-10,1.4e-10
12,S-38_inorg,170.3 m,M,0.2,2.9E-09,0.1,1.7e-09,8.3e-10,5.3e-10,3.3e-10,2.7e-10
13,S-38_inorg,170.3 m,S,0.02,3.1E-09,0.01,1.8e-09,8.7e-10,5.6e-10,3.5e-10,2.9e-10
14,Cl-34m,32.00 m,F,1,3.4E-10,1,1.9e-10,8.9e-11,5.5e-11,3.2e-11,2.7e-11
15,Cl-34m,32.00 m,M,1,5.0E-10,1,2.9e-10,1.3e-10,8.4e-11,5.3e-11,4.4e-11
16,Cl-40,1.35 m,F,1,2.4E-11,1,1.6e-11,7.4e-12,4.7e-12,2.9e-12,2.5e-12
17,Cl-40,1.35 m,M,1,2.6E-11,1,1.7e-11,8e-12,5.1e-12,3.1e-12,2.7e-12
18,K-38,7.636 m,F,1,1.1E-10,1,6.5e-11,3e-11,1.9e-11,1.2e-11,9.7e-12
19,Ca-49,8.718 m,F,0.6,1.3E-10,0.3,7.8e-11,3.5e-11,2.2e-11,1.3e-11,1.1e-11
20,Ca-49,8.718 m,M,0.2,1.9E-10,0.1,1.1e-10,5.2e-11,3.3e-11,2.1e-11,1.8e-11
21,Ca-49,8.718 m,S,0.02,2.0E-10,0.01,1.2e-10,5.4e-11,3.5e-11,2.2e-11,1.8e-11
22,Ti-51,5.76 m,F,0.02,5.4E-11,0.01,3.1e-11,1.3e-11,8.8e-12,5.5e-12,4.8e-12
23,Ti-51,5.76 m,M,0.02,7.0E-11,0.01,3.9e-11,1.7e-11,1.2e-11,7.3e-12,6.4e-12
24,Ti-51,5.76 m,S,0.02,7.2E-11,0.01,4e-11,1.8e-11,1.2e-11,7.5e-12,6.6e-12
25,V-50,1.5E+17 y,F,0.02,1.5E-07,0.01,1.5e-07,1.1e-07,9.7e-08,8.6e-08,8.4e-08
26,V-50,1.5E+17 y,M,0.02,6.2E-08,0.01,6e-08,4.7e-08,3.9e-08,3.7e-08,3.7e-08
27,V-52,3.743 m,F,0.02,4.6E-11,0.01,2.7e-11,1.3e-11,8.1e-12,5e-12,4.3e-12
28,V-52,3.743 m,M,0.02,5.5E-11,0.01,3.3e-11,1.5e-11,9.7e-12,6.1e-12,5.2e-12
29,V-53,1.61 m,F,0.02,2.0E-11,0.01,1.2e-11,5.6e-12,3.6e-12,2.3e-12,2e-12
30,V-53,1.61 m,M,0.02,2.2E-11,0.01,1.3e-11,6.1e-12,4e-12,2.5e-12,2.2e-12
31,Cr-55,3.497 m,F,0.2,3.6E-11,0.1,0.2,8.7e-12,5.8e-12,3.6e-12,3.2e-12
32,Cr-55,3.497 m,M,0.2,4.4E-11,0.1,2.4e-11,1.1e-11,7.1e-12,4.5e-12,4e-12
33,Cr-55,3.497 m,S,0.2,4.5E-11,0.1,2.5e-11,1.1e-11,7.2e-12,4.6e-12,4.1e-12
34,Cr-56,5.94m,F,0.2,7.9E-11,0.1,4.6e-11,2.1e-11,1.3e-11,7.9e-12,6.8e-12
35,Cr-56,5.94m,M,0.2,1.1E-10,0.1,6.5e-11,3e-11,1.9e-11,1.2e-11,1.1e-11
36,Cr-56,5.94m,S,0.2,1.2E-10,0.1,6.7e-11,3.1e-11,2e-11,1.3e-11,1.1e-11
37,Mn-57,1.42333m,F,0.2,1.6E-11,0.1,9.3e-12,4.1e-12,2.8e-12,1.7e-12,1.6e-12
38,Mn-57,1.42333m,M,0.2,1.8E-11,0.1,1e-11,4.5e-12,3e-12,1.9e-12,1.7e-12
39,Mn-58m,1.08666m,F,0.2,1.8E-11,0.1,1.1e-11,5.3e-12,3.4e-12,2.1e-12,1.8e-12
40,Mn-58m,1.08666m,M,0.2,1.9E-11,0.1,1.2e-11,5.6e-12,3.6e-12,2.2e-12,1.9e-12
41,Fe-53,8.51m,F,0.6,9.8E-11,0.1,5.6e-11,2.5e-11,1.6e-11,9.5e-12,8e-12
42,Fe-53,8.51m,M,0.2,1.2E-10,0.1,7.1e-11,3.2e-11,2.1e-11,1.3e-11,1.1e-11
43,Fe-53,8.51m,S,0.02,1.3E-10,0.01,7.3e-11,3.3e-11,2.1e-11,1.3e-11,1.1e-11
44,Co-62,1.50m,F,0.6,2.2E-11,0.1,1.3e-11,6.2e-12,4e-12,2.5e-12,2.2e-12
45,Co-62,1.50m,M,0.2,2.4E-11,0.1,1.5e-11,6.8e-12,4.4e-12,2.7e-12,2.4e-12
46,Co-62,1.50m,S,0.02,2.4E-11,0.01,1.5e-11,6.8e-12,4.4e-12,2.8e-12,2.4e-12
47,Cu-62,9.74m,F,1,1.1E-10,0.5,6.1e-11,2.7e-11,1.7e-11,1e-11,8.9e-12
48,Cu-62,9.74m,M,1,1.5E-10,0.5,8.3e-11,3.7e-11,2.4e-11,1.5e-11,1.3e-11
49,Cu-62,9.74m,S,1,1.5E-10,0.5,8.6e-11,3.8e-11,2.5e-11,1.5e-11,1.3e-11
50,Cu-66,5.088M,F,1,5.1E-11,0.5,2.8e-11,1.2e-11,7.9e-12,4.9e-12,4.4e-12
51,Cu-66,5.088M,M,1,6.5E-11,0.5,3.5e-11,1.5e-11,1e-11,6.5e-12,5.7e-12
52,Cu-66,5.088M,S,1,6.6E-11,0.5,3.6e-11,1.6e-11,1e-11,6.6e-12,5.9e-12
53,As-68,2.52666m,M,1,5.5E-11,0.5,3.5e-11,1.7e-11,1.1e-11,6.6e-12,5.6e-12
54,As-79,9.01m,M,1,1.4E-10,0.5,7.5e-11,3.3e-11,2.2e-11,1.5e-11,1.3e-11
55,Se-71,4.74m,F,1,6.7E-11,0.8,4e-11,1.8e-11,1.2e-11,7.1e-12,6e-12
56,Se-71,4.74m,M,0.2,8.3E-11,0.1,4.9e-11,2.3e-11,1.5e-11,9.1e-12,7.8e-12
57,Se-71,4.74m,S,0.02,8.5E-11,0.01,5e-11,2.3e-11,1.5e-11,9.3e-12,8e-12
58,Se-72,8.40d,F,1,3.0E-08,0.8,2e-08,1.1e-08,8.4e-09,2.6e-09,2e-09
59,Se-72,8.40d,M,0.2,2.6E-08,0.1,1.6e-08,8.8e-09,6e-09,3.9e-09,3.3e-09
60,Se-72,8.40d,S,0.02,2.5E-08,0.01,1.6e-08,8.7e-09,5.8e-09,4.3e-09,3.7e-09
61,Se-79m,3.92m,F,1,1.7E-11,0.8,1e-11,4.6e-12,3.1e-12,2.1e-12,1.8e-12
62,Se-79m,3.92m,M,0.2,2.1E-11,0.1,1.3e-11,5.7e-12,3.9e-12,2.7e-12,2.3e-12
63,Se-79m,3.92m,S,0.02,2.1E-11,0.01,1.3e-11,5.9e-12,4e-12,2.8e-12,2.4e-12
64,Bromine,Br-77m,4.28m,F,1,2.3E-11,1.0,1.4e-11,6.2e-12,4.2e-12,2.8e-12
65,Bromine,Br-77m,4.28m,M,1,2.9E-11,1.0,1.7e-11,7.9e-12,5.4e-12,3.6e-12
66,Br-78,6.46 m,F,1,6.8E-11,1,3.9e-11,1.8e-11,1.1e-11,7e-12,6e-12
67,Br-78,6.46 m,M,1,8.8E-11,1,5.1e-11,2.3e-11,1.5e-11,9.3e-12,8e-12
68,Br-82m,6.13 m,F,1,1.3E-11,1,9.1e-12,4.6e-12,2.8e-12,1.7e-12,1.4e-12
69,Br-82m,6.13 m,M,1,1.8E-11,1,1.2e-11,6.4e-12,4.1e-12,2.9e-12,2.3e-12
70,Br-84m,6.0 m,F,1,7.7E-11,1,4.8e-11,2.3e-11,1.4e-11,8.8e-12,7.4e-12
71,Br-84m,6.0 m,M,1,9.6E-11,1,6e-11,2.8e-11,1.8e-11,1.1e-11,9.4e-12
72,Rb-77,3.77 m,F,1,7.3E-11,1,4.3e-11,2e-11,1.2e-11,7.6e-12,6.5e-12
73,Rb-77,3.77 m,M,1,9.4E-11,1,5.5e-11,2.6e-11,1.6e-11,1e-11,8.9e-12
74,Rb-77,3.77 m,S,1,9.7E-11,1,5.6e-11,2.6e-11,1.7e-11,1.1e-11,9.1e-12
75,Rb-78,17.66 m,F,1,2.3E-10,1,1.4e-10,6.5e-11,4e-11,2.4e-11,2e-11
76,Rb-78,17.66 m,M,1,3.2E-10,1,1.9e-10,8.8e-11,5.5e-11,3.4e-11,2.8e-11
77,Rb-78,17.66 m,S,1,3.3E-10,1,1.9e-10,9.1e-11,5.7e-11,3.5e-11,2.9e-11
78,Rb-82,1.273 m,F,1,1.7E-11,1,1e-11,4.8e-12,3.1e-12,1.9e-12,1.7e-12
79,Rb-84m,20.26 m,F,1,4.8E-11,1,3e-11,1.4e-11,9e-12,5.6e-12,4.7e-12
80,Rb-86m,1.017 m,F,1,1.6E-12,1,1.2e-12,6.2e-13,3.7e-13,2.2e-13,1.7e-13
81,Rb-90,2.63333 m,F,1,4.3E-11,1,2.5e-11,1.1e-11,7.4e-12,4.6e-12,4e-12
82,Rb-90m,4.3 m,F,1,6.9E-11,1,4.2e-11,2e-11,1.3e-11,7.7e-12,6.5e-12
83,Y-83,7.08 m,M,0.001,1.2E-10,1E-04,7.3e-11,3.3e-11,2.1e-11,1.3e-11,1.1e-11
84,Y-83,7.08 m,S,0.001,1.3E-10,1E-04,7.4e-11,3.4e-11,2.2e-11,1.4e-11,1.1e-11
85,Y-83m,2.85 m,M,0.001,5.3E-11,1E-04,3.1e-11,1.4e-11,9.2e-12,5.8e-12,4.9e-12
86,Y-83m,2.85 m,S,0.001,5.4E-11,1E-04,3.2e-11,1.5e-11,9.5e-12,5.9e-12,5.1e-12
87,Y-84m,40 m,M,0.001,6.0E-10,1E-04,3.7e-10,1.8e-10,1.1e-10,6.9e-11,5.6e-11
88,Y-84m,40 m,S,0.001,6.2E-10,1E-04,3.8e-10,1.8e-10,1.1e-10,7.2e-11,5.8e-11
89,Y-85,2.68 h,M,0.001,9.4E-10,1E-04,5.8e-10,2.8e-10,1.8e-10,1.1e-10,9.1e-11
90,Y-85,2.68 h,S,0.001,9.7E-10,1E-04,6e-10,2.9e-10,1.9e-10,1.2e-10,9.6e-11
91,Y-85m,4.86 h,M,0.001,1.7E-09,1E-04,1.1e-09,5.1e-10,3.2e-10,2e-10,1.6e-10
92,Y-85m,4.86 h,S,0.001,1.8E-09,1E-04,1.1e-09,5.3e-10,3.4e-10,2e-10,1.7e-10
93,Y-87m,13.37 h,M,0.001,1.2E-09,1E-04,7.6e-10,3.8e-10,2.5e-10,1.7e-10,1.3e-10
94,Y-87m,13.37 h,S,0.001,1.2E-09,1E-04,7.9e-10,4e-10,2.6e-10,1.7e-10,1.4e-10
95,Zr-85,7.86 m,F,0.02,1.2E-10,0.002,7.3e-11,3.3e-11,2.1e-11,1.2e-11,1e-11
