Z,Element,Nuclide,Half-life,Decay mode,Alpha,Electron,Photon,Total,Daughter Products
1,Hydrogen,H-3,12.32 y,B-,–,0.005,–,0.0057,{'He-3': 1.0}
4,Beryllium,Be-7,53.22 d,EC,–,<E-04,0.0499,0.0499,{'Li-7': 1.0}
4,Beryllium,Be-10,1.51E+6 y,B-,–,0.2525,–,0.2525,{'B-10': 1.0}
6,Carbon,C-10,19.255 s,ECB+,–,0.8087,1.7443,2.5531,{'B-10': 1.0}
6,Carbon,C-11,20.39 m,ECB+,–,0.3847,1.0196,1.4043,{'B-11': 1.0}
6,Carbon,C-14,5.70E+3 y,B-,–,0.0495,–,0.0495,{'N-14': 1.0}
7,Nitrogen,N-13,9.965 m,ECB+,–,0.4909,1.02,1.5109,{'C-13': 1.0}
7,Nitrogen,N-16,7.13 s,B-,–,2.7646,4.4932,7.2579,{'O-16': 1.0}
8,Oxygen,O-14,70.606 s,ECB+,–,0.7763,3.3201,4.0965,{'N-14': 1.0}
8,Oxygen,O-15,122.24 s,ECB+,–,0.7347,1.021,1.7557,{'N-15': 1.0}
8,Oxygen,O-19,26.464 s,B-,–,1.7608,0.9397,2.7006,{'F-19': 1.0}
9,Fluorine,F-17,64.49 s,ECB+,–,0.7385,1.0208,1.7593,{'O-17': 1.0}
9,Fluorine,F-18,109.77 m,ECB+,–,0.2416,0.9886,1.2302,{'O-18': 1.0}
10,Neon,Ne-19,17.22 s,ECB+,–,0.9624,1.021,1.9834,{'F-19': 1.0}
10,Neon,Ne-24,3.38 m,B-,–,0.8035,0.5419,1.3455,{'Na-24': 1.0}
11,Sodium,Na-22,2.6019 y,ECB+,–,0.1941,2.1926,2.3866,{'Ne-22': 1.0}
11,Sodium,Na-24,14.9590 h,B-,–,0.5538,4.1232,4.677,{'Mg-24': 1.0}
12,Magnesium,Mg-27,9.458 m,B-,–,0.7021,0.8912,1.5933,{'Al-27': 1.0}
12,Magnesium,Mg-28,20.915 h,B-,–,0.161,1.37,1.531,{'Al-28': 1.0}
13,Aluminium,Al-26,7.17E+5 y,ECB+,–,0.4444,2.6751,3.1195,{'Mg-26': 1.0}
13,Aluminium,Al-28,2.2414 m,B-,–,1.2417,1.7789,3.0205,{'Si-28': 1.0}
13,Aluminium,Al-29,6.56 m,B-,–,0.9764,1.3794,2.3558,{'Si-29': 1.0}
14,Silicon,Si-31,157.3 m,B-,–,0.5949,0.0009,0.5957,{'P-31': 1.0}
14,Silicon,Si-32,132 y,B-,–,0.0686,–,0.0686,{'P-32': 1.0}
15,Phosphorus,P-30,2.498 m,ECB+,–,1.4389,1.0222,2.461,{'Si-30': 1.0}
15,Phosphorus,P-32,14.263 d,B-,–,0.6948,–,0.6948,{'S-32': 1.0}
